GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,main.java.com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,main.java.com.parkit.parkingsystem.dao,ParkingSpotDAO,15,92,2,2,5,24,2,4,0,4
parking-system,main.java.com.parkit.parkingsystem.dao,TicketDAO,68,228,2,4,9,54,2,7,0,6
parking-system,main.java.com.parkit.parkingsystem.model,ParkingSpot,26,36,8,0,4,15,5,8,1,8
parking-system,main.java.com.parkit.parkingsystem.model,Ticket,0,45,0,0,0,19,0,13,0,13
parking-system,main.java.com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,main.java.com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,main.java.com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,main.java.com.parkit.parkingsystem.config,DataBaseConfig,15,45,3,3,6,20,3,6,0,6
parking-system,main.java.com.parkit.parkingsystem.service,FareCalculatorService,5,115,2,13,1,23,2,9,0,3
parking-system,main.java.com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,main.java.com.parkit.parkingsystem.service,ParkingService,10,257,2,13,4,68,2,13,0,7
parking-system,main.java.com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
